# BINNING-MACT: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MACT: M_{act} / M_{/CMSY10 \014}
# 1: MACT / Msun	2: probability
216	2.56376e-07
216.2	2.54194e-07
216.4	2.52202e-07
216.6	2.51008e-07
216.8	2.49975e-07
217	2.48936e-07
217.2	2.47492e-07
217.4	2.50779e-07
217.6	2.47699e-07
217.8	2.46460e-07
218	2.47050e-07
218.2	2.43058e-07
218.4	2.42621e-07
218.6	2.41088e-07
218.8	2.39395e-07
219	2.38194e-07
219.2	2.39405e-07
219.4	2.40956e-07
219.6	2.38759e-07
219.8	2.37746e-07
220	2.39337e-07
220.2	2.38532e-07
220.4	2.34025e-07
220.6	2.35322e-07
220.8	2.34181e-07
221	2.33431e-07
221.2	2.31438e-07
221.4	2.29837e-07
221.6	2.30232e-07
221.8	2.28911e-07
222	2.32900e-07
222.2	2.30203e-07
222.4	2.27639e-07
222.6	2.29429e-07
222.8	2.25760e-07
223	2.25821e-07
223.2	2.25586e-07
223.4	2.23837e-07
223.6	2.23280e-07
223.8	2.21632e-07
224	2.20682e-07
224.2	2.22371e-07
224.4	2.17614e-07
224.6	2.20382e-07
224.8	2.21223e-07
225	2.17937e-07
225.2	2.18031e-07
225.4	2.16972e-07
225.6	2.10705e-07
225.8	2.11915e-07
226	2.09586e-07
226.2	2.10533e-07
226.4	2.10978e-07
226.6	2.10034e-07
226.8	2.07577e-07
227	2.07048e-07
227.2	2.05925e-07
227.4	2.06003e-07
227.6	2.03442e-07
227.8	2.02709e-07
228	2.05069e-07
228.2	2.03815e-07
228.4	2.03341e-07
228.6	2.02059e-07
228.8	2.02440e-07
229	2.03293e-07
229.2	2.01640e-07
229.4	1.99656e-07
229.6	2.00714e-07
229.8	2.00784e-07
230	2.00355e-07
230.2	1.98324e-07
230.4	2.00749e-07
230.6	1.98034e-07
230.8	1.98250e-07
231	1.96549e-07
231.2	1.97388e-07
231.4	1.96506e-07
231.6	1.94231e-07
231.8	1.96092e-07
232	1.95338e-07
232.2	1.95060e-07
232.4	1.96653e-07
